Exercise,Repository,Student,State,IsCorrect,Time,TestCount
TEL,10,15,NS,1,0,0
TEL,10,15,WR,1,0,0
TEL,10,15,WR,1,258,0
TEL,10,15,WR,1,33,1
TEL,10,15,RE,1,3,1
TEL,10,15,RE,1,9,1
TEL,10,15,RE,1,6,1
TEL,10,15,RE,1,14,1
TEL,10,15,RE,1,7,1
TEL,10,15,GR,1,2,1
TEL,10,15,GR,1,0,1
TEL,10,15,WR,1,53,2
TEL,10,15,RE,1,6,2
TEL,10,15,RE,1,11,2
TEL,10,15,RE,1,17,2
TEL,10,15,RE,1,1,2
TEL,10,15,RE,1,6,2
TEL,10,15,RE,1,11,2
TEL,10,15,RE,1,0,2
TEL,10,15,RE,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,RF,1,15,2
TEL,10,15,RF,1,19,2
TEL,10,15,RF,1,8,2
TEL,10,15,RF,1,30,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,15,2
TEL,10,15,RF,1,12,2
TEL,10,15,RF,1,7,2
TEL,10,15,RF,1,10,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,25,2
TEL,10,15,RF,1,14,2
TEL,10,15,RF,1,9,2
TEL,10,15,RF,1,8,2
TEL,10,15,RF,1,46,2
TEL,10,15,RF,1,6,2
TEL,10,15,RF,1,8,2
TEL,10,15,RF,1,28,2
TEL,10,15,RF,1,22,2
TEL,10,15,RF,1,3,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,78,2
TEL,10,15,RF,1,16,2
TEL,10,15,GR,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,RF,1,39,2
TEL,10,15,RF,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,WR,1,430,3
TEL,10,15,NT,0,47,3
TEL,10,15,NT,0,10,3
TEL,10,15,NT,0,0,3
TEL,10,15,NT,0,79,3
TEL,10,15,NT,0,30,3
TEL,10,15,NT,0,16,3
TEL,10,15,NT,0,2,3
TEL,10,15,NT,0,91,3
TEL,10,15,NT,0,7,3
TEL,10,15,NT,0,25,3
TEL,10,15,NT,0,0,3
TEL,10,15,NT,0,0,3
TEL,10,15,NT,0,0,3
TEL,10,15,NT,0,31,3
TEL,10,15,NT,0,0,3
TEL,10,15,NT,0,0,3
TEL,10,15,NT,0,0,3
TEL,10,15,NT,0,33,3
TEL,10,15,GR,1,0,3
TEL,10,15,GR,1,3,3
TEL,10,15,GR,1,0,3
TEL,10,15,GR,1,0,3
TEL,10,15,RF,1,64,3
TEL,10,15,RF,1,2,3
TEL,10,15,RF,1,25,3
TEL,10,15,RF,1,3,3
TEL,10,15,RF,1,0,3
TEL,10,15,RF,1,0,3
TEL,10,15,RF,1,0,3
TEL,10,15,RF,1,76,3
TEL,10,15,WR,1,20,4
TEL,10,15,RE,1,0,4
TEL,10,15,RE,1,145,4
TEL,10,15,RE,1,2,4
TEL,10,15,RE,1,0,4
TEL,10,15,RE,1,0,4
TEL,10,15,GR,1,0,4
TEL,10,15,WR,1,378,5
TEL,10,15,RE,1,4,5
TEL,10,15,RE,1,194,5
TEL,10,15,RE,1,4,5
TEL,10,15,RE,1,10,5
TEL,10,15,RE,1,18,5
TEL,10,15,RE,1,3,5
TEL,10,15,RE,1,46,5
TEL,10,15,RE,1,29,5
TEL,10,15,RE,1,13,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,15,5
TEL,10,15,RE,1,37,5
TEL,10,15,RE,1,5,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,77,5
TEL,10,15,RE,1,34,5
TEL,10,15,RE,1,65,5
TEL,10,15,RE,1,4,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,16,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,32,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,134,5
TEL,10,15,RE,1,3,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,34,5
TEL,10,15,RE,1,5,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,55,5
TEL,10,15,RE,1,3,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,RE,1,0,5
TEL,10,15,GR,1,0,5
TEL,10,15,WR,1,475,6
TEL,10,15,RE,1,3,6
TEL,10,15,RE,1,14,6
TEL,10,15,RE,1,13,6
TEL,10,15,RE,1,2,6
TEL,10,15,RE,1,33,6
TEL,10,15,RE,1,26,6
TEL,10,15,RE,1,6,6
TEL,10,15,RE,1,0,6
TEL,10,15,RE,1,79,6
TEL,10,15,RE,1,29,6
TEL,10,15,RE,1,55,6
TEL,10,15,RE,1,87,6
TEL,10,15,RE,1,5,6
TEL,10,15,RE,1,260,6
TEL,10,15,RE,1,191,6
TEL,10,15,RE,1,19,6
TEL,10,15,RE,1,7,6
TEL,10,15,RE,1,9,6
TEL,10,15,RE,1,15,6
TEL,10,15,NT,0,302,7
TEL,10,15,NT,0,3,7
TEL,10,15,NT,0,29,7
TEL,10,15,NT,0,8,7
TEL,10,15,NT,0,5,7
TEL,10,15,NT,0,12,7
TEL,10,15,NT,0,43,7
TEL,10,15,NT,0,101,7
TEL,10,15,NT,0,61,7
TEL,10,15,NT,0,8,7
TEL,10,15,NT,0,0,7
TEL,10,15,NT,0,0,7
TEL,10,15,NT,0,1,7
TEL,10,15,NT,0,0,7
TEL,10,15,NT,0,0,7
TEL,10,15,NT,0,0,7
TEL,10,15,NS,1,0,0
TEL,10,15,WR,1,0,0
TEL,10,15,WR,1,258,0
TEL,10,15,WR,1,33,1
TEL,10,15,RE,1,3,1
TEL,10,15,RE,1,9,1
TEL,10,15,RE,1,6,1
TEL,10,15,RE,1,14,1
TEL,10,15,RE,1,7,1
TEL,10,15,GR,1,2,1
TEL,10,15,GR,1,0,1
TEL,10,15,WR,1,53,2
TEL,10,15,RE,1,6,2
TEL,10,15,RE,1,11,2
TEL,10,15,RE,1,17,2
TEL,10,15,RE,1,1,2
TEL,10,15,RE,1,6,2
TEL,10,15,RE,1,11,2
TEL,10,15,RE,1,0,2
TEL,10,15,RE,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,RF,1,15,2
TEL,10,15,RF,1,19,2
TEL,10,15,RF,1,8,2
TEL,10,15,RF,1,30,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,15,2
TEL,10,15,RF,1,12,2
TEL,10,15,RF,1,7,2
TEL,10,15,RF,1,10,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,25,2
TEL,10,15,RF,1,14,2
TEL,10,15,RF,1,9,2
TEL,10,15,RF,1,8,2
TEL,10,15,RF,1,46,2
TEL,10,15,RF,1,6,2
TEL,10,15,RF,1,8,2
TEL,10,15,RF,1,28,2
TEL,10,15,RF,1,22,2
TEL,10,15,RF,1,3,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,0,2
TEL,10,15,RF,1,78,2
TEL,10,15,RF,1,16,2
TEL,10,15,GR,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,GR,1,0,2
TEL,10,15,RF,1,39,2
TEL,10,15,RF,1,0,2
