Tipo,Porcentaje,16,17,18,31,12,26,25,27,28,0,19,37,32,38,30,39,34,29,10,14,11,43,3,44,2,40,35,13,5,47,1,45,41,6,22,36,42,9,46,8,23,21,24,15,20,4,16
T,0.3,1,1,1,1,0,0.5,1,1,0.5,1,0,1,0,1,1,0.5,0,0.5,0.5,0.75,0.75,0,0,1,1,0.5,1,0.7,0.7,0.5,1,0.7,0,0,1,0.5,1,1,0.7,1,1,0.4,1,0.3,0.2,1,1
T,0.3,1,1,1,1,0,0.5,0,1,0.5,1,0,1,0,1,1,0.5,1,0.5,0.5,0.75,0.75,0,0,1,1,0.5,1,0.7,0.7,0.5,1,0.7,1,0,1,0.5,1,1,1,1,1,0.5,1,0.3,0.2,1,1
D,0.4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
T,0.3,0.25,0,0,0,0,0,0,0,0,1,1,0.5,0.6,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.7,0,0,1,1,1,0,0,0.7,0.7,0.7,0.3,0,0.3,0.4,1,0.3,0,1,0.25
T,0.3,0.25,0,0,0,0,0,0,0,0,1,1,0.5,0.6,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0.7,0,0,1,0,1,0,0.5,0.7,0,0.7,0.3,0,0.3,0.4,1,0.3,0,1,0.25
D,0.4,0,1,1,1,1,1,0,0,0,0,1,1,0.5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.3,0,0,1,0,0,1,0
T,0.4,1,0.75,1,0.75,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0.6,0,1,1,0.5,1,0.7,0.7,1,0.7,0,1,1
T,0.4,0,0.75,0.5,0,1,1,0,0,0,0.5,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0.7,1,1,0.3,0,1,0.7,0,1,0
D,0.2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0.5,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0.8,1,0,1
T,0.5,0,0.75,0.75,0.75,1,1,0.75,1,1,1,0,1,0,1,0.5,0.5,0.5,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0.9,1,0.7,1,0.5,1,0.7,0.3,0.5,0.3,0.2,1,0,0.2,1,0
D,0.4,0,0.75,1,,1,1,0.25,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,0,0.7,1,0.6,0.2,1,0.6,0,0.8,0
T,0.6,0.25,0.75,1,0.75,1,1,0.5,1,1,0,1,1,1,1,1,1,0.5,1,0.3,0.5,0,0.75,0,0.5,0.75,0.5,0.75,0.8,1,0.8,1,0.8,0.8,1,0.7,1,0.9,0.7,1,1,0.2,0.7,1,0,0.2,0.7,0.25
T,0.6,0.25,0.5,0,0.75,1,1,0.5,1,0,0,1,1,1,1,0,1,0.5,0,0.3,0,1,0,0,0,0.5,0,0.75,0.8,1,0.8,1,0.8,0.8,1,0,0,0,0.7,0.7,1,0.2,0,1,0,0.2,0,0.25
T,0.6,0,0.5,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0.5,1,0
D,0.5,0.5,0.5,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.5
D,0.3,1,1,1,1,1,1,1,0,1,0,0.5,1,0.5,1,0,0.8,0.5,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0.5,0,0.9,1,1,1,1,0.8,1,0,0,1,0.5,0,1,1
T,0.3,0,1,0,0.75,0,1,0,1,0,0,0,0.5,1,1,0,1,1,1,0.5,0,0,0,1,0.75,0,0,0,1,0,0,0.8,0,0,1,0.5,0,0.5,0.7,0.5,0.5,0,0.6,1,0,0,0,0
T,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.6,1,0,0,0,0
T,0.5,1,1,1,1,0,1,0,0.5,0.8,0.8,0.8,0.8,1,1,0,1,0,1,0.5,0.75,0.75,1,1,0.75,0.75,0.75,1,1,1,0.5,1,0.7,0.7,1,1,0.6,0.6,0.8,1,1,1,0.6,1,0,0,1,1
T,0.6,0,0,1,1,0,1,0,0.5,0,0,0.5,0.8,0.6,0.8,0,0.6,0,1,0,0.75,1,0,1,0.75,1,0.75,1,0.8,0,0.6,0,0.5,0,0.6,0,0,0,0.7,0.7,1,0.4,0.8,1,0,0,0.8,0
T,0.6,0,0,0,0,0,1,0,0,0,0,0,0.8,0.6,0.8,0,0.6,1,1,0,0,0.75,0,1,0.75,1,1,1,0,0,0.7,0.7,0,0,0.6,0,0,1,0,0.7,1,0,0.8,1,0,0,1,0
