Group,Excercise,TestLines,ModelLines
10,MR,130,140
10,MRR,198,234
10,PO1,189,136
10,PO2,397,314
10,TL1,65,37
10,TL2,182,151
10,TL3,457,297
11,MR,122,198
11,MRR,245,231
11,PO1,216,141
11,PO2,389,327
11,TL1,50,31
11,TL2,181,130
11,TL3,312,242
12,MR,117,177
12,MRR,197,269
12,PO1,141,113
13,MR,159,116
13,MRR,279,314
13,PO1,245,154
13,PO2,17,994
13,TL1,64,56
13,TL2,16,269
13,TL3,382,250
14,MR,71,193
14,MRR,208,262
14,PO1,274,164
14,PO2,0,300
14,TL2,139,169
14,TL3,0,195
15,MR,62,110
15,MRR,284,273
15,PO1,341,141
15,PO2,486,426
15,TL2,304,196
15,TL3,409,309
16,MR,63,145
16,MRR,418,290
16,PO1,232,161
16,PO2,463,417
16,TL1,67,34
16,TL2,225,157
16,TL3,424,340
17,MR,106,108
17,MRR,209,260
17,PO1,160,141
17,PO2,388,408
17,TL1,80,41
17,TL2,213,146
17,TL3,347,270
18,MR,45,114
18,MRR,217,249
18,PO1,219,143
18,PO2,297,311
18,TL1,58,37
18,TL2,177,162
18,TL3,263,257
20,MR,106,185
20,MRR,278,247
20,PO1,165,137
20,PO2,528,389
20,TL1,53,49
20,TL2,174,172
20,TL3,480,273
21,MR,135,177
21,MRR,157,209
21,PO1,161,171
21,PO2,337,335
21,TL1,55,21
21,TL2,113,170
21,TL3,268,341
22,MR,150,119
22,MRR,144,239
22,PO1,160,144
22,PO2,340,299
22,TL1,37,34
22,TL2,71,77
22,TL3,88,113
23,MR,119,106
23,MRR,113,305
23,PO1,183,145
23,PO2,369,330
23,TL1,43,23
23,TL2,208,149
23,TL3,422,340
24,MR,78,164
24,MRR,211,221
24,PO1,213,135
24,PO2,417,328
24,TL3,510,418
25,MR,210,90
25,MRR,201,233
25,PO1,222,126
25,PO2,328,327
25,TL1,53,66
25,TL2,160,170
25,TL3,314,227
2,MR,157,108
2,MRR,224,244
2,PO1,166,130
2,PO2,338,319
2,TL1,50,48
2,TL2,216,174
2,TL3,440,303
3,MR,51,94
3,MRR,6,621
3,PO2,342,299
3,TL1,56,39
3,TL2,78,312
4,MR,126,100
4,MRR,210,249
4,PO1,219,138
4,PO2,483,387
4,TL1,51,44
4,TL2,190,108
4,TL3,345,291
5,MR,70,190
5,MRR,261,269
5,PO1,229,180
5,PO2,399,353
5,TL1,69,91
5,TL2,192,213
5,TL3,459,376
6,MR,37,130
6,MRR,287,274
6,PO1,354,169
6,PO2,533,409
6,TL1,72,65
6,TL2,262,110
6,TL3,460,239
7,MRR,176,228
7,PO1,158,160
7,PO2,357,335
7,TL1,53,36
7,TL3,278,225
8,MRR,146,286
8,PO1,138,123
8,PO2,424,419
8,TL1,58,36
8,TL2,177,114
8,TL3,377,312
9,MR,137,160
9,MRR,233,233
9,PO1,186,133
9,PO2,392,378
9,TL1,61,60
9,TL2,217,159
9,TL3,329,275
