Group,Time,Exercise,Cycle Number,Cycle is correct
10,1521,MR,1,1
10,674,MR,2,1
10,528,MR,3,1
10,201,MR,4,1
10,239,MR,5,0
10,1450,MR,6,0
10,305,MR,7,1
10,137,MR,8,0
10,167,MR,9,1
10,600,MR,10,1
10,154,MR,11,1
10,781,MR,12,1
10,99,MR,13,1
10,98,MR,14,1
10,159,MR,15,1
10,1064,MR,16,1
10,79,MR,17,1
10,4977,MR,18,1
10,502,MR,19,0
10,143,MR,20,1
10,416,MR,21,1
10,235,PO1,1,0
10,1272,PO1,2,1
10,487,PO1,3,1
10,1653,PO1,4,1
10,229,PO1,5,1
10,472,PO1,6,1
10,533,PO1,7,1
10,602,PO1,8,1
10,1017,PO1,9,1
10,415,PO1,10,1
10,2462,PO1,11,1
10,14634,TL2,1,0
10,203,TL2,2,0
10,1445,TL3,1,0
10,4789,TL3,2,1
10,891,TL3,3,0
10,2675,TL3,4,0
11,887,MR,1,1
11,415,MR,2,0
11,238,PO1,1,0
11,662,PO1,2,1
11,526,PO1,3,1
11,245,PO1,4,1
11,962,PO1,5,1
11,49,PO1,6,1
11,1668,PO1,7,0
11,2384,PO1,8,1
11,674,PO1,9,0
11,725,PO1,10,1
11,351,PO2,1,0
11,746,PO2,2,0
11,234,PO2,3,0
11,985,PO2,4,0
11,9398,PO2,5,0
11,764,TL1,1,0
11,1196,TL1,2,0
11,1655,TL1,3,1
11,6366,TL2,1,0
11,570,TL2,2,0
11,5970,TL2,3,0
11,2417,TL2,4,0
11,2880,TL3,1,0
11,2919,TL3,2,0
11,557,TL3,3,1
11,563,TL3,4,1
11,538,TL3,5,1
11,662,TL3,6,1
12,1554,MRR,1,1
12,9,MRR,2,1
12,206,MRR,3,0
12,177,MRR,4,1
12,929,MRR,5,0
12,50,MRR,6,1
12,5,MRR,7,1
12,53,MRR,8,1
12,539,MRR,9,1
12,552,MRR,10,1
12,408,MRR,11,1
12,5,MRR,12,1
12,108,MRR,13,0
12,5,MRR,14,1
12,103,MRR,15,1
12,544,MRR,16,0
12,69,MRR,17,1
13,1065,MRR,1,1
13,337,MRR,2,1
13,886,MRR,3,1
13,534,MRR,4,0
13,132,MRR,5,1
13,724,MRR,6,0
13,583,MRR,7,1
13,2827,MRR,8,0
13,1098,MRR,9,1
13,674,MRR,10,0
13,1563,PO1,1,0
13,876,TL1,1,1
13,719,TL1,2,1
13,110,TL1,3,1
13,612,TL1,4,1
13,600,TL1,5,1
13,1769,TL1,6,0
13,140,TL1,7,1
13,417,TL1,8,1
13,1477,TL2,1,0
13,797,TL2,2,1
13,3185,TL2,3,1
13,2462,TL2,4,1
13,913,TL2,5,0
13,1333,TL3,1,0
13,1123,TL3,2,1
13,994,TL3,3,1
13,253,TL3,4,1
13,734,TL3,5,1
13,2069,TL3,6,1
13,386,TL3,7,1
13,1845,TL3,8,1
13,1556,TL3,9,1
13,1243,TL3,10,1
13,290,TL3,11,1
14,1246,MRR,1,0
14,588,MRR,2,1
14,492,MRR,3,1
14,1188,MRR,4,1
14,181,MRR,5,1
14,1978,MRR,6,0
14,1022,MRR,7,1
14,1002,MRR,8,1
14,121,MRR,9,1
14,362,MRR,10,1
14,1250,MR,1,1
14,608,MR,2,0
14,1466,MR,3,1
14,305,MR,4,1
14,83,MR,5,1
14,731,MR,6,1
14,694,MR,7,1
14,1418,MR,8,1
14,169,MR,9,1
14,171,MR,10,1
14,474,MR,11,1
14,60,MR,12,1
14,56,MR,13,1
14,190,MR,14,1
14,235,MR,15,1
14,302,MR,16,1
14,118,MR,17,1
14,10174,MR,18,1
14,1427,MR,19,0
14,388,MR,20,1
14,580,PO1,1,0
14,514,PO1,2,0
14,410,PO1,3,1
14,2368,PO1,4,0
14,1237,PO1,5,1
14,2440,PO1,6,1
14,321,PO1,7,1
14,136,PO1,8,1
14,3236,PO1,9,1
14,1747,PO1,10,1
14,2438,PO1,11,1
14,2017,PO2,1,0
14,1171,PO2,2,1
14,182,PO2,3,1
14,541,PO2,4,1
14,188,PO2,5,1
14,1038,PO2,6,1
14,2732,PO2,7,0
14,170,TL1,1,0
14,978,TL1,2,1
14,912,TL1,3,1
14,1245,TL1,4,1
14,223,TL1,5,1
14,1444,TL3,1,0
14,1126,TL3,2,1
14,1143,TL3,3,0
14,1824,TL3,4,0
14,2489,TL3,5,0
14,4266,TL3,6,1
14,195,TL3,7,1
14,877,TL3,8,1
14,483,TL3,9,1
14,3601,TL3,10,0
14,333,TL3,11,1
14,393,TL3,12,1
14,771,TL3,13,1
14,1299,TL3,14,1
14,10415,TL3,15,0
14,5620,TL3,16,0
15,3281,MRR,1,0
