Group,Excercise,Lines
10,MR,270
10,MRR,432
10,PO1,325
10,PO2,711
10,TL1,102
10,TL2,333
10,TL3,754
11,MR,320
11,MRR,476
11,PO1,357
11,PO2,716
11,TL1,81
11,TL2,311
11,TL3,554
12,MR,294
12,MRR,466
12,PO1,254
13,MR,275
13,MRR,593
13,PO1,399
13,PO2,1011
13,TL1,120
13,TL2,285
13,TL3,632
14,MR,264
14,MRR,470
14,PO1,438
14,PO2,300
14,TL2,308
14,TL3,195
15,MR,172
15,MRR,557
15,PO1,482
15,PO2,912
15,TL2,500
15,TL3,718
16,MR,208
16,MRR,708
16,PO1,393
16,PO2,880
16,TL1,101
16,TL2,382
16,TL3,764
17,MR,214
17,MRR,469
17,PO1,301
17,PO2,796
17,TL1,121
17,TL2,359
17,TL3,617
18,MR,159
18,MRR,466
18,PO1,362
18,PO2,608
18,TL1,95
18,TL2,339
18,TL3,520
20,MR,291
20,MRR,525
20,PO1,302
20,PO2,917
20,TL1,102
20,TL2,346
20,TL3,753
21,MR,312
21,MRR,366
21,PO1,332
21,PO2,672
21,TL1,76
21,TL2,283
21,TL3,609
22,MR,269
22,MRR,383
22,PO1,304
22,PO2,639
22,TL1,71
22,TL2,148
22,TL3,201
23,MR,225
23,MRR,418
23,PO1,328
23,PO2,699
23,TL1,66
23,TL2,357
23,TL3,762
24,MR,242
24,MRR,432
24,PO1,348
24,PO2,745
24,TL3,928
25,MR,300
25,MRR,434
25,PO1,348
25,PO2,655
25,TL1,119
25,TL2,330
25,TL3,541
2,MR,265
2,MRR,468
2,PO1,296
2,PO2,657
2,TL1,98
2,TL2,390
2,TL3,743
3,MR,145
3,MRR,627
3,PO2,641
3,TL1,95
3,TL2,390
4,MR,226
4,MRR,459
4,PO1,357
4,PO2,870
4,TL1,95
4,TL2,298
4,TL3,636
5,MR,260
5,MRR,530
5,PO1,409
5,PO2,752
5,TL1,160
5,TL2,405
5,TL3,835
6,MR,167
6,MRR,561
6,PO1,523
6,PO2,942
6,TL1,137
6,TL2,372
6,TL3,699
7,MRR,404
7,PO1,318
7,PO2,692
7,TL1,89
7,TL3,503
8,MRR,432
8,PO1,261
8,PO2,843
8,TL1,94
8,TL2,291
8,TL3,689
9,MR,297
9,MRR,466
9,PO1,319
9,PO2,770
9,TL1,121
9,TL2,376
9,TL3,604
